,0
0,8.0
1,7.0
2,8.0
3,7.0
4,7.0
5,8.0
6,9.0
7,8.0
8,8.0
9,7.0
10,8.0
11,9.0
12,9.0
13,8.0
14,8.0
15,6.0
16,9.0
17,10.0
18,8.0
19,9.0
20,9.0
21,9.0
22,9.0
23,8.0
24,9.0
25,8.0
26,8.0
27,9.0
28,8.0
29,9.0
30,7.0
31,9.0
32,9.0
33,7.0
34,8.0
35,9.0
36,10.0
37,7.0
38,9.0
39,9.0
40,9.0
41,10.0
42,8.0
43,10.0
44,8.0
45,8.0
46,9.0
47,9.0
48,8.0
49,8.0
50,9.0
51,7.0
52,9.0
53,8.0
54,10.0
55,9.0
56,9.0
57,8.0
58,9.0
59,9.0
60,9.0
61,10.0
62,9.0
63,8.0
64,8.0
65,9.0
66,9.0
67,7.0
68,9.0
69,8.0
70,9.0
71,9.0
72,8.0
73,8.0
74,9.0
75,8.0
76,10.0
77,7.0
78,10.0
79,9.0
80,9.0
81,8.0
82,7.0
83,8.0
84,9.0
85,9.0
86,8.0
87,8.0
88,4.0
89,8.0
90,8.0
91,9.0
92,9.0
93,7.0
94,9.0
95,8.0
96,9.0
97,9.0
98,9.0
99,9.0
100,9.0
101,8.0
102,8.0
103,9.0
104,8.0
105,7.0
106,8.0
107,9.0
108,9.0
109,9.0
110,9.0
111,9.0
112,8.0
113,9.0
114,9.0
115,7.0
116,9.0
117,7.0
118,8.0
119,8.0
120,8.0
121,9.0
122,10.0
123,8.0
124,8.0
125,9.0
126,8.0
127,9.0
128,7.0
129,9.0
130,9.0
131,8.0
132,7.0
133,9.0
134,9.0
135,7.0
136,9.0
137,9.0
138,9.0
139,9.0
140,9.0
141,7.0
142,10.0
143,9.0
144,8.0
145,8.0
146,9.0
147,9.0
148,9.0
149,9.0
150,10.0
151,9.0
152,8.0
153,8.0
154,8.0
155,8.0
156,9.0
157,7.0
158,9.0
159,6.0
160,8.0
161,8.0
162,9.0
163,8.0
164,9.0
165,8.0
166,8.0
167,10.0
168,9.0
169,9.0
170,9.0
171,9.0
172,9.0
173,9.0
174,10.0
175,9.0
176,9.0
177,7.0
178,8.0
179,8.0
180,8.0
181,9.0
182,9.0
183,8.0
184,9.0
185,10.0
186,9.0
187,8.0
188,9.0
189,9.0
190,9.0
191,10.0
192,8.0
193,9.0
194,9.0
195,9.0
196,9.0
197,9.0
198,9.0
199,10.0
200,8.0
201,8.0
202,9.0
203,8.0
204,8.0
205,9.0
206,8.0
207,9.0
208,8.0
209,9.0
210,9.0
211,10.0
212,8.0
213,10.0
214,8.0
215,8.0
216,8.0
217,8.0
218,8.0
219,9.0
220,9.0
221,10.0
222,8.0
223,8.0
224,9.0
225,8.0
226,9.0
227,9.0
228,7.0
229,10.0
230,9.0
231,8.0
232,9.0
233,7.0
234,10.0
235,8.0
236,8.0
237,8.0
238,9.0
239,10.0
240,8.0
241,9.0
242,8.0
243,7.0
244,8.0
245,8.0
246,8.0
247,9.0
248,9.0
249,8.0
250,10.0
251,8.0
252,9.0
253,9.0
254,8.0
255,9.0
256,9.0
257,9.0
258,8.0
259,7.0
260,8.0
261,7.0
262,9.0
263,9.0
264,8.0
265,8.0
266,9.0
267,7.0
268,9.0
269,9.0
270,9.0
271,10.0
272,8.0
273,9.0
274,9.0
275,10.0
276,9.0
277,9.0
278,7.0
279,8.0
280,8.0
281,8.0
282,10.0
283,8.0
284,8.0
285,10.0
286,9.0
287,8.0
288,10.0
289,7.0
290,6.0
291,7.0
292,8.0
293,8.0
294,8.0
295,11.0
296,9.0
297,10.0
298,10.0
299,8.0
300,8.0
301,7.0
302,9.0
303,8.0
304,9.0
305,7.0
306,8.0
307,8.0
308,8.0
309,9.0
310,7.0
311,10.0
312,9.0
313,9.0
314,9.0
315,9.0
316,9.0
317,10.0
318,9.0
319,9.0
320,8.0
321,9.0
322,8.0
323,7.0
324,8.0
325,8.0
326,10.0
327,9.0
328,8.0
329,9.0
330,7.0
331,9.0
332,9.0
333,9.0
334,9.0
335,9.0
336,8.0
337,8.0
338,9.0
339,8.0
340,8.0
341,8.0
342,8.0
343,8.0
344,9.0
345,9.0
346,9.0
347,8.0
348,7.0
349,9.0
350,9.0
351,8.0
352,9.0
353,7.0
354,7.0
355,9.0
