,0
0,16
1,20
2,14
3,27
4,30
5,15
6,30
7,4
8,35
9,26
10,22
11,25
12,6
13,25
14,13
15,35
16,18
17,15
18,7
19,11
20,20
21,2
22,30
23,39
24,16
25,22
26,7
27,28
28,23
29,15
30,34
31,36
32,12
33,26
34,33
35,24
36,31
37,17
38,22
39,15
40,3
41,14
42,8
43,28
44,20
45,11
46,18
47,33
48,27
49,4
50,13
51,15
52,27
53,30
54,11
55,22
56,23
57,14
58,22
59,6
60,23
61,14
62,17
63,6
64,24
65,25
66,20
67,33
68,18
69,28
70,21
71,25
72,21
73,29
74,21
75,19
76,47
77,33
78,18
79,21
80,16
81,23
82,9
83,11
84,31
85,28
86,39
87,19
88,29
89,9
90,15
91,51
92,22
93,25
94,36
95,15
96,21
97,34
98,20
99,17
100,40
101,26
102,18
103,21
104,34
105,30
106,52
107,21
108,24
109,13
110,3
111,29
112,28
113,24
114,29
115,4
116,25
117,28
118,37
119,20
120,17
121,29
122,29
123,9
124,1
125,10
126,23
127,3
128,26
129,39
130,24
131,25
132,44
133,24
134,11
135,41
136,8
137,3
138,12
139,30
140,33
141,24
142,19
143,31
144,24
145,3
146,39
147,17
148,20
149,24
150,7
151,11
152,4
153,33
154,28
155,29
156,29
157,26
158,37
159,21
160,30
161,29
162,22
163,9
164,30
165,33
166,20
167,16
168,10
169,21
170,5
171,6
172,12
173,25
174,21
175,20
176,23
177,20
178,23
179,30
180,30
181,17
182,26
183,16
184,28
185,22
186,3
187,23
188,20
189,23
190,16
191,39
192,29
193,34
194,9
195,28
196,25
197,23
198,4
199,27
200,27
201,28
202,27
203,33
204,47
205,25
206,25
207,10
208,8
209,26
210,12
211,20
212,20
213,14
214,28
215,20
216,39
217,4
218,23
219,44
220,19
221,27
222,14
223,3
224,44
225,19
226,27
227,11
228,24
229,31
230,23
231,36
232,9
233,32
234,19
235,10
236,17
237,13
238,21
239,19
240,12
241,31
242,34
243,15
244,7
245,44
246,28
247,40
248,23
249,24
250,27
251,26
252,14
253,31
254,23
255,15
256,20
257,26
258,27
259,30
260,30
261,12
262,30
263,18
264,36
265,25
266,23
267,17
268,21
269,26
270,20
271,39
272,11
273,27
274,27
275,17
276,23
277,22
278,34
279,34
280,16
281,20
282,11
283,15
284,29
285,4
286,32
287,26
288,21
289,29
290,32
291,36
292,17
293,26
294,25
295,23
296,29
297,26
298,21
299,38
300,29
301,45
302,28
303,26
304,26
305,31
306,26
307,2
308,17
