,0
0,166
1,224
2,136
3,302
4,224
5,110
6,255
7,28
8,216
9,227
10,183
11,193
12,99
13,171
14,98
15,305
16,132
17,164
18,42
19,91
20,183
21,31
22,253
23,306
24,150
25,180
26,60
27,203
28,175
29,134
30,239
31,256
32,91
33,180
34,210
35,251
36,254
37,169
38,240
39,94
40,21
41,129
42,67
43,169
44,152
45,147
46,163
47,236
48,153
49,48
50,243
51,126
52,169
53,210
54,112
55,244
56,155
57,91
58,224
59,38
60,157
61,151
62,127
63,100
64,187
65,191
66,160
67,197
68,109
69,215
70,216
71,286
72,190
73,170
74,198
75,171
76,282
77,237
78,161
79,228
80,165
81,148
82,85
83,91
84,244
85,246
86,211
87,172
88,104
89,103
90,124
91,319
92,298
93,151
94,237
95,127
96,154
97,220
98,175
99,129
100,243
101,149
102,175
103,205
104,270
105,181
106,328
107,177
108,157
109,129
110,24
111,213
112,164
113,201
114,242
115,29
116,161
117,244
118,237
119,173
120,196
121,271
122,208
123,114
124,86
125,128
126,190
127,20
128,199
129,302
130,225
131,249
132,264
133,200
134,145
135,263
136,117
137,23
138,75
139,204
140,291
141,183
142,161
143,216
144,209
145,89
146,323
147,161
148,190
149,160
150,115
151,95
152,20
153,228
154,234
155,156
156,239
157,212
158,246
159,127
160,212
161,277
162,131
163,138
164,212
165,281
166,145
167,245
168,83
169,154
170,136
171,106
172,144
173,184
174,159
175,193
176,141
177,156
178,146
179,209
180,250
181,145
182,202
183,165
184,208
185,159
186,53
187,201
188,73
189,177
190,117
191,263
192,205
193,267
194,66
195,178
196,228
197,214
198,25
199,190
200,206
201,184
202,211
203,181
204,292
205,195
206,145
207,81
208,87
209,209
210,72
211,120
212,125
213,166
214,328
215,189
216,257
217,27
218,206
219,243
220,109
221,241
222,222
223,26
224,255
225,134
226,202
227,157
228,138
229,228
230,140
231,272
232,121
233,195
234,148
235,97
236,159
237,166
238,215
239,139
240,129
241,204
242,277
243,160
244,76
245,326
246,195
247,231
248,197
249,167
250,272
251,203
252,114
253,272
254,152
255,141
256,206
257,245
258,213
259,156
260,232
261,114
262,285
263,173
264,197
265,191
266,248
267,127
268,195
269,196
270,138
271,272
272,161
273,201
274,225
275,127
276,215
277,165
278,236
279,225
280,112
281,160
282,101
283,148
284,268
285,36
286,304
287,155
288,202
289,271
290,229
291,291
292,106
293,217
294,180
295,229
296,239
297,176
298,156
299,257
300,195
301,309
302,227
303,272
304,212
305,217
306,175
307,52
308,199
309,193
310,162
311,111
312,186
313,215
314,286
315,279
316,213
317,193
318,172
319,286
320,157
321,192
322,179
323,183
324,359
325,178
326,163
327,147
328,324
329,217
330,149
331,188
332,25
333,162
334,266
335,171
336,97
337,272
338,190
339,134
340,253
341,189
342,227
343,346
344,119
345,150
346,124
347,203
348,190
349,108
350,61
351,141
352,90
353,146
354,131
355,91
356,3
357,88
358,283
359,227
360,135
361,307
362,234
363,173
364,23
365,177
366,134
367,315
368,154
369,256
370,135
371,187
372,66
373,25
374,248
375,232
376,205
377,24
378,238
379,148
380,244
381,122
382,348
383,200
384,166
385,132
386,161
387,213
388,254
389,199
390,22
391,70
392,82
393,169
394,264
395,209
396,213
397,185
398,86
399,165
400,244
401,182
402,23
403,211
404,179
405,152
406,195
407,157
408,271
409,255
410,203
411,171
412,152
413,73
414,128
415,322
416,115
417,135
418,94
419,154
420,253
421,257
422,210
423,247
424,252
425,158
426,23
427,275
428,254
429,147
430,242
431,151
432,298
433,204
434,24
435,152
436,195
437,139
438,196
439,207
440,143
441,211
442,101
443,256
444,289
445,235
446,14
447,124
448,155
449,97
450,216
451,216
452,41
453,185
454,251
455,139
456,148
457,242
458,160
459,182
460,217
461,135
462,166
463,172
464,165
465,94
466,211
467,182
468,138
469,22
470,126
471,52
472,21
473,179
474,91
475,198
476,242
477,160
478,262
479,206
480,184
481,110
482,233
483,251
484,140
485,162
486,281
487,290
488,180
489,147
490,144
491,210
492,165
493,156
494,287
495,310
496,185
497,225
498,176
499,68
500,112
501,250
502,197
503,111
504,317
505,175
506,221
507,125
508,129
509,146
510,191
511,109
512,137
513,224
514,180
515,173
516,276
517,152
518,111
519,211
520,258
521,23
522,166
523,134
524,23
525,88
526,106
527,218
528,180
529,187
530,23
531,414
532,157
533,170
534,172
535,159
536,168
537,22
538,187
539,274
540,20
541,176
542,10
543,83
544,184
545,210
546,166
547,305
548,216
549,116
550,208
551,195
552,282
553,254
554,280
555,257
556,284
557,177
558,157
559,247
560,103
561,251
562,230
563,139
564,107
565,216
566,142
567,223
568,204
569,316
570,306
571,114
572,226
573,179
574,69
575,126
576,162
577,211
578,183
579,198
580,219
581,229
582,323
583,154
584,173
585,264
586,50
587,66
588,191
589,133
590,196
591,94
592,168
593,81
594,228
595,158
596,222
597,98
598,108
599,126
600,392
601,24
602,99
603,206
604,215
605,200
606,118
607,123
608,191
609,240
610,155
611,149
612,209
613,157
614,203
615,214
616,305
617,95
618,92
619,140
620,80
621,147
622,224
623,129
624,124
625,155
626,226
627,196
628,84
629,201
630,198
631,76
632,217
633,163
634,195
635,152
636,107
637,134
638,111
639,209
640,264
641,179
642,162
643,152
644,181
645,120
646,140
647,228
648,22
649,125
650,17
651,242
652,108
653,196
654,168
655,19
656,211
657,238
658,137
659,84
660,175
661,219
662,120
663,235
664,177
665,211
666,21
667,184
668,134
669,207
670,59
671,107
672,193
673,117
674,133
675,258
676,156
677,245
678,171
679,263
680,239
681,170
682,174
683,178
684,147
685,141
686,193
687,188
688,86
689,65
690,20
691,162
692,186
693,127
694,188
695,96
696,375
697,127
698,21
699,63
700,206
701,104
702,193
703,221
704,161
705,173
706,292
707,186
708,204
709,199
710,165
711,236
712,69
713,147
714,131
715,244
716,126
717,267
718,206
719,300
720,286
721,24
722,95
723,181
724,79
725,169
726,102
727,283
728,245
729,154
730,54
731,224
732,221
733,187
734,196
735,137
736,169
737,216
738,167
739,302
740,236
741,173
742,204
743,159
744,108
745,22
746,211
747,168
748,156
749,101
750,132
751,204
752,260
753,154
754,201
755,181
756,185
757,161
758,142
759,218
760,123
761,271
762,129
763,108
764,165
765,198
766,281
767,147
768,211
769,250
770,212
771,218
772,129
773,104
774,267
775,232
776,165
777,232
778,225
779,245
780,118
781,287
782,225
783,147
784,180
785,169
786,112
787,200
788,20
789,179
790,257
791,179
792,172
793,155
794,230
795,278
796,155
797,197
798,263
799,157
800,126
801,81
802,197
803,107
804,227
805,118
806,189
807,163
808,180
809,122
810,157
811,186
812,200
813,214
814,309
815,132
816,141
817,93
818,165
819,165
820,162
821,234
822,125
823,198
824,55
825,305
826,180
827,205
828,154
829,11
830,246
831,283
832,237
833,146
834,210
835,52
836,267
837,180
838,84
839,24
840,154
841,168
842,222
843,135
844,25
845,116
846,109
847,223
848,21
849,23
850,221
851,185
852,135
853,196
854,94
855,23
856,266
857,165
858,143
859,192
860,344
861,206
862,131
863,113
864,144
865,26
866,60
867,191
868,252
869,150
870,153
871,269
872,326
873,157
874,256
875,189
876,204
877,208
878,169
879,186
880,20
881,142
882,184
883,257
884,183
885,250
886,23
887,174
888,263
889,243
890,69
891,167
892,266
893,117
894,271
895,192
896,177
897,181
898,166
899,213
900,142
901,169
902,89
903,259
904,181
905,283
906,245
907,26
908,99
909,21
910,313
911,173
912,268
913,298
914,23
915,316
916,191
917,212
918,138
919,166
920,116
921,180
922,107
923,110
924,124
925,193
926,191
927,130
928,148
929,306
930,113
931,184
932,226
933,102
934,249
935,243
936,83
937,154
938,27
939,223
940,173
941,121
942,133
943,218
944,231
945,225
946,170
947,242
948,217
949,200
950,245
951,271
952,160
953,192
954,177
955,116
956,214
957,115
958,166
959,197
960,137
961,280
962,170
963,118
964,258
965,170
966,127
967,334
968,181
969,193
970,97
971,18
972,133
973,170
974,127
975,124
976,249
977,253
978,147
979,149
980,318
981,165
982,190
983,267
984,172
985,157
986,21
987,155
988,19
989,48
990,162
991,188
992,73
993,158
994,238
995,261
996,313
997,387
998,148
999,147
1000,195
1001,82
1002,146
1003,213
1004,194
1005,251
1006,190
1007,154
1008,213
1009,195
1010,154
1011,172
1012,239
1013,116
1014,156
1015,283
1016,172
1017,124
1018,226
1019,338
1020,120
1021,215
1022,174
1023,218
1024,170
1025,297
1026,216
1027,94
1028,216
1029,216
1030,246
1031,191
1032,123
1033,200
1034,127
1035,281
1036,173
1037,70
1038,134
1039,181
1040,295
1041,135
1042,191
1043,177
1044,265
1045,261
1046,285
1047,290
1048,120
1049,178
1050,186
1051,139
1052,167
1053,102
1054,258
1055,175
1056,116
1057,136
1058,189
1059,158
1060,242
1061,239
1062,97
1063,20
1064,176
1065,242
1066,28
1067,122
1068,136
1069,173
1070,165
1071,195
1072,158
1073,274
1074,188
1075,345
1076,133
1077,192
1078,112
1079,156
1080,123
1081,178
1082,161
1083,197
1084,278
1085,178
1086,170
1087,99
1088,275
1089,213
1090,129
1091,160
1092,144
1093,45
1094,198
1095,192
1096,158
1097,145
1098,91
1099,161
1100,91
1101,355
1102,186
1103,252
1104,33
1105,215
1106,141
1107,126
1108,263
1109,134
1110,258
1111,212
1112,179
1113,130
1114,162
1115,22
1116,157
1117,191
1118,14
1119,249
1120,126
1121,232
1122,197
1123,23
1124,145
1125,140
1126,175
1127,107
1128,165
1129,290
1130,98
1131,342
1132,153
1133,191
1134,136
1135,280
1136,177
1137,121
1138,183
1139,199
1140,263
1141,175
1142,27
1143,233
1144,192
1145,222
1146,150
1147,236
1148,178
1149,190
1150,99
1151,169
1152,292
1153,133
1154,280
1155,235
1156,202
1157,160
1158,148
1159,312
1160,218
1161,157
1162,183
1163,224
1164,209
1165,225
1166,365
1167,15
1168,115
1169,170
1170,182
1171,274
1172,220
1173,95
1174,213
1175,148
1176,193
1177,192
1178,138
1179,123
1180,179
1181,168
1182,213
1183,194
1184,205
1185,153
1186,213
1187,225
1188,142
1189,264
1190,235
1191,212
1192,149
1193,214
1194,111
1195,153
1196,236
1197,251
1198,161
1199,196
1200,238
1201,174
1202,263
1203,231
1204,92
1205,164
1206,190
1207,222
1208,228
1209,215
1210,248
1211,228
1212,184
1213,39
1214,261
1215,166
1216,245
1217,268
1218,90
1219,25
1220,23
1221,165
1222,222
1223,90
1224,116
1225,212
1226,201
1227,83
1228,192
1229,231
1230,196
1231,178
1232,268
1233,165
1234,253
1235,213
1236,164
1237,131
1238,148
1239,227
1240,186
1241,162
1242,123
1243,197
1244,326
1245,416
1246,202
1247,196
1248,41
1249,191
1250,294
1251,194
1252,221
1253,252
1254,182
1255,163
1256,201
1257,167
1258,155
1259,189
1260,192
1261,135
1262,166
1263,149
1264,213
1265,134
1266,167
1267,170
1268,217
1269,61
1270,171
1271,130
1272,144
1273,116
1274,186
1275,115
1276,145
1277,251
1278,181
1279,195
1280,132
1281,117
1282,192
1283,258
1284,121
1285,183
1286,132
1287,138
1288,129
1289,255
1290,39
1291,225
1292,151
1293,126
1294,256
1295,161
1296,148
1297,164
1298,164
1299,285
