	char_count	word_count	sentence_count	avg_sentence_len	spelling_errors	long_word	exc_count	que_count	comma_count	stopwords_num	sat_num	unigram	bigrams	trigrams	noun_count	adj_count	adv_count	verb_count	fw_count	neg_sentiment	neu_sentiment	pos_sentiment	syllable_count	flesch_reading_ease	smog_index	flesch_kincaid_grade	coleman_liau_index	automated_readability_index	dale_chall_readability_score	difficult_words	linsear_write_formula	gunning_fog
0	1875.0	386.0	16.0	24.125	20	59	4	2	18	165	2	181	329	356	84	22	21	68	68	0.0	13.698	2.302	446	74.02	10.2	8.5	8.54	11.3	6.06	28	8.666666666666666	10.31
1	2288.0	464.0	20.0	23.2	22	81	1	1	12	181	9	209	412	447	114	21	18	85	85	0.16999999999999998	16.652	3.1759999999999997	585	67.08	11.6	9.1	7.95	10.1	6.6	51	10.166666666666666	10.21
2	1541.0	313.0	14.0	22.357142857142858	12	52	0	0	9	132	7	161	289	306	86	19	14	53	53	0.6559999999999999	11.000999999999998	2.3419999999999996	399	68.2	12.0	8.7	8.3	9.9	6.72	37	8.142857142857142	10.25
3	3165.0	611.0	27.0	22.62962962962963	40	131	2	1	13	208	4	267	518	578	197	52	28	100	100	0.064	23.646	3.2900000000000005	805	53.34	13.7	12.3	11.26	15.4	7.89	98	15.5	13.53
4	2569.0	517.0	30.0	17.233333333333334	34	87	0	0	13	216	3	211	443	498	116	32	36	87	87	0.699	25.994	3.307	660	72.66	11.1	7.0	8.0	7.7	6.0	47	8.428571428571429	8.01
5	1276.0	273.0	15.0	18.2	13	36	1	2	3	125	4	139	256	268	61	13	16	49	49	0.459	13.613	0.9279999999999999	322	77.67	10.4	7.1	6.33	7.8	6.11	24	10.166666666666666	9.67
6	2808.0	580.0	30.0	19.333333333333332	18	86	0	4	35	227	6	236	503	561	134	30	40	84	84	2.2680000000000002	24.975	2.755	709	70.94	10.7	7.6	8.29	9.0	6.36	59	10.666666666666666	8.56
7	255.0	46.0	4.0	11.5	2	9	0	0	2	11	0	34	44	44	13	5	2	8	8	0.0	2.237	0.763	66	49.52	10.5	9.7	12.17	10.7	7.45	8	7.333333333333334	9.32
8	2402.0	512.0	35.0	14.628571428571428	28	69	1	6	16	200	7	231	468	504	113	30	34	84	84	0.881	28.767	5.352	605	75.2	9.4	6.0	6.66	5.9	5.96	47	5.666666666666667	7.37
9	2632.0	561.0	26.0	21.576923076923077	29	62	0	2	14	253	13	223	490	542	111	41	35	113	113	2.9110000000000005	21.474999999999998	1.6139999999999999	657	75.64	10.4	7.9	6.62	9.0	5.84	37	7.857142857142858	9.87
10	1963.0	373.0	22.0	16.954545454545453	20	75	1	1	13	129	10	218	357	369	93	28	22	72	72	2.879	17.092	2.03	501	64.3	11.1	8.1	10.84	10.1	7.81	70	10.5	9.49
11	2182.0	435.0	25.0	17.4	46	80	0	1	0	186	3	169	326	381	104	36	32	85	85	2.2439999999999998	20.452	2.304	560	71.85	11.7	7.3	8.29	8.3	6.1	41	10.666666666666666	8.56
12	1007.0	211.0	6.0	35.166666666666664	24	20	0	0	0	98	4	124	196	205	43	18	5	43	43	0.178	5.181	0.641	257	62.35	11.5	13.0	5.99	14.1	7.1	23	19.0	14.78
13	1618.0	332.0	25.0	13.28	50	48	0	0	0	116	5	135	263	304	80	37	11	54	54	1.0390000000000001	21.237000000000005	2.724	414	83.86	9.8	4.7	6.13	5.1	5.76	29	8.428571428571429	6.81
14	991.0	197.0	13.0	15.153846153846153	14	34	0	0	7	75	2	102	177	191	54	17	8	30	30	0.0	11.032999999999998	1.9669999999999999	248	72.16	10.6	7.2	8.58	8.4	6.04	18	8.285714285714286	7.99
15	3168.0	605.0	35.0	17.285714285714285	35	110	0	1	23	209	7	265	519	569	172	42	21	102	102	0.9099999999999999	27.096999999999994	6.993	810	63.7	11.4	8.4	10.55	10.1	6.85	81	10.666666666666666	9.05
